,0
2015-01-13,-0.15869467028003614
2015-01-14,-0.062420957542908766
2015-01-15,-0.07676151761517615
2015-01-16,-0.03640469738030713
2015-01-20,-0.20968834688346882
2015-01-21,-0.14019873532068655
2015-01-22,-0.11447606142728094
2015-01-23,-0.1387082204155375
2015-01-26,-0.19916440831074977
2015-01-27,-0.13021680216802167
2015-01-28,-0.10483288166214996
2015-01-29,-0.08157181571815718
2015-01-30,-0.0007000903342366757
2015-02-02,-0.04546070460704607
2015-02-03,0.1500903342366757
2015-02-04,0.08676603432700994
2015-02-05,0.036833785004516714
2015-02-06,0.007971996386630533
2015-02-09,0.1916214995483288
2015-02-10,0.10548780487804879
2015-02-11,0.17551942186088526
2015-02-12,0.04317976513098464
2015-02-13,0.08744354110207768
2015-02-17,0.05146793134598013
2015-02-18,0.004968383017163504
2015-02-19,-0.015266485998193314
2015-02-20,-0.04668021680216802
2015-02-23,-0.2183152664859982
2015-02-24,-0.2244579945799458
2015-02-25,-0.053906955736224026
2015-02-26,-0.031233062330623305
2015-02-27,-0.11598915989159891
2015-03-02,-0.1460252935862692
2015-03-03,-0.21307588075880757
2015-03-04,-0.1696025293586269
2015-03-05,-0.0735546522131888
2015-03-06,0.13974706413730803
2015-03-09,0.2306684733514002
2015-03-10,0.19135049683830171
2015-03-11,0.17511291779584462
2015-03-12,0.11488256549232159
2015-03-13,0.12845528455284552
2015-03-16,0.13812104787714544
2015-03-17,0.1291553748870822
2015-03-18,0.0773486901535682
2015-03-19,0.06395663956639566
2015-03-20,0.09613821138211383
2015-03-23,0.004607046070460705
2015-03-24,-0.07043812104787715
2015-03-25,0.06269196025293586
2015-03-26,-0.08371725383920506
2015-03-27,-0.09649954832881662
2015-03-30,0.01797651309846432
2015-03-31,0.004923215898825654
2015-04-01,-0.053590785907859075
2015-04-02,-0.07757452574525744
2015-04-06,0.12294489611562781
2015-04-07,0.026648599819331525
2015-04-08,-0.21849593495934957
2015-04-09,-0.19602529358626916
2015-04-10,-0.08742095754290875
2015-04-13,-0.05264227642276423
2015-04-14,0.011924119241192412
2015-04-15,0.27660343270099363
2015-04-16,0.19019873532068654
2015-04-17,0.1842140921409214
2015-04-20,0.020731707317073172
